OverallQual,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
7,856,1710,2,548,208500
6,1262,1262,2,460,181500
7,920,1786,2,608,223500
7,756,1717,3,642,140000
8,1145,2198,3,836,250000
5,796,1362,2,480,143000
8,1686,1694,2,636,307000
7,1107,2090,2,484,200000
7,952,1774,2,468,129900
5,991,1077,1,205,118000
5,1040,1040,1,384,129500
9,1175,2324,3,736,345000
5,912,912,1,352,144000
7,1494,1494,3,840,279500
6,1253,1253,1,352,157000
7,832,854,2,576,132000
6,1004,1004,2,480,149000
4,0,1296,2,516,90000
5,1114,1114,2,576,159000
5,1029,1339,1,294,139000
8,1158,2376,3,853,325300
7,637,1108,1,280,139400
8,1777,1795,2,534,230000
5,1040,1060,2,572,129900
5,1060,1060,1,270,154000
8,1566,1600,3,890,256300
5,900,900,2,576,134800
8,1704,1704,3,772,306000
5,1484,1600,1,319,207500
4,520,520,1,240,68500
4,649,1317,1,250,40000
5,1228,1228,1,271,149350
8,1234,1234,2,484,179900
5,1398,1700,2,447,165500
9,1561,1561,2,556,277500
8,1117,2452,3,691,309000
5,1097,1097,2,672,145000
5,1297,1297,2,498,153000
5,1057,1057,1,246,109000
4,0,1152,0,0,82000
6,1088,1324,2,440,160000
5,1350,1328,1,308,170000
5,840,884,2,504,144000
5,938,938,1,308,130250
5,1150,1150,1,300,141000
9,1752,1752,2,576,319900
7,1434,2149,2,670,239686
8,1656,1656,3,826,249700
4,736,1452,0,0,113000
5,955,955,1,386,127000
6,794,1470,2,388,177000
6,816,1176,2,528,114500
5,816,816,2,516,110000
9,1842,1842,3,894,385000
5,384,1360,2,572,130000
6,1425,1425,2,576,180500
8,970,1739,2,480,172500
7,860,1720,2,565,196500
10,1410,2945,3,641,438780
5,780,780,1,352,124900
6,1158,1158,2,576,158000
5,530,1111,1,288,101000
8,1370,1370,2,484,202500
7,576,1710,2,480,140000
7,1057,2034,2,645,219500
8,1143,2473,3,852,317000
7,1947,2207,2,576,180000
7,1453,1479,2,558,226000
4,747,747,1,220,80000
7,1304,2287,2,667,225000
7,2223,2223,2,516,244000
4,845,845,2,360,129500
7,832,1718,2,427,185000
5,1086,1086,2,490,144900
3,840,1605,1,379,107400
4,462,988,1,297,91000
4,952,952,1,283,135750
5,672,1285,1,240,127000
4,1768,1768,0,0,136500
5,440,1230,2,440,110000
6,896,2142,1,509,193500
6,1237,1337,2,405,153500
8,1563,1563,3,758,245000
5,1065,1065,2,461,126500
7,384,1474,2,400,168500
8,1288,2417,2,462,260000
6,684,1560,2,400,174000
6,612,1224,2,528,164500
3,1013,1526,0,0,85000
4,990,990,0,0,123600
4,0,1040,2,420,109900
5,1235,1235,2,480,98600
5,876,964,2,432,163500
6,1214,2291,2,506,133900
6,824,1786,2,684,204750
6,680,1470,2,420,185000
7,1588,1588,2,472,214000
4,960,960,1,432,94750
5,458,835,1,366,83000
4,950,1225,0,0,128950
6,1610,1610,2,480,205000
6,741,1732,2,476,178000
5,0,1535,2,410,118964
7,1226,1226,3,740,198900
7,1040,1818,1,240,169500
8,1053,1992,2,648,250000
4,641,1047,1,273,100000
5,789,789,1,250,115000
5,793,1517,0,0,115000
6,1844,1844,2,546,190000
6,994,1855,1,325,136900
7,384,1430,2,400,180000
7,1264,2696,3,792,383970
6,1809,2259,2,450,217000
6,1028,2320,1,180,259500
6,729,1458,2,440,176000
5,1092,1092,1,288,139000
5,1125,1125,2,430,155000
7,1673,3222,3,594,320000
6,728,1456,2,390,163990
6,938,988,2,540,180000
4,732,1123,1,264,100000
6,1080,1080,1,288,136000
6,1199,1199,2,530,153900
6,1362,1586,2,435,181000
6,520,754,0,0,84500
6,1078,958,2,440,128000
5,672,840,0,0,87000
6,660,1348,2,453,155000
5,1008,1053,2,750,150000
7,924,2157,2,487,226000
6,992,2054,2,390,244000
5,1063,1327,2,624,150750
8,1267,1296,2,471,220000
5,1461,1721,2,440,180000
7,1304,1682,2,530,174000
5,1214,1214,1,318,143000
7,1907,1959,3,766,171000
8,1004,1852,3,660,230000
6,928,1764,2,470,231500
4,864,864,0,0,115000
7,1734,1734,2,660,260000
5,910,1385,2,720,166000
7,1490,1501,2,577,204000
5,1728,1728,2,504,125000
6,970,1709,2,380,130000
5,715,875,1,180,105000
7,884,2035,2,434,222500
7,1080,1080,0,0,141000
5,896,1344,1,240,115000
5,969,969,2,440,122000
8,1710,1710,3,866,372402
6,825,1993,2,495,190000
6,1602,1252,2,564,235000
6,1200,1200,1,312,125000
6,572,1096,0,0,79000
5,0,1040,2,625,109500
8,774,1968,3,680,269500
7,991,1947,2,678,254900
7,1392,2462,2,576,320000
6,1232,1232,2,516,162500
9,1572,2668,3,726,412500
7,1541,1541,2,532,220000
4,882,882,0,0,103200
6,1149,1616,1,216,152000
5,644,1355,0,0,127500
5,1617,1867,1,303,190000
8,1582,2161,3,789,325624
7,840,1720,2,440,183500
8,1686,1707,2,511,228000
5,720,1382,2,660,128500
6,1080,1656,2,528,215000
7,1064,1767,2,504,239000
6,1362,1362,2,504,163000
6,1606,1651,2,616,184000
6,1202,2158,2,576,243000
6,1151,2060,2,521,211000
5,1052,1920,2,451,172500
9,2216,2234,3,1166,501837
5,968,968,2,480,100000
6,756,1525,2,440,177000
7,793,1802,1,216,200100
5,0,1340,1,252,120000
7,1362,2082,2,484,200000
5,504,1252,2,576,127000
10,1107,3608,3,840,475000
7,1188,1217,2,497,173000
5,660,1656,1,180,135000
5,1086,1224,2,528,153337
8,1593,1593,2,682,286000
8,853,2727,2,440,315000
7,725,1479,2,484,184000
7,1431,1431,2,666,192000
7,970,1709,2,380,130000
5,864,864,1,352,127000
6,855,1456,2,440,148500
7,1726,1726,3,786,311872
8,1360,3112,2,795,235000
6,755,2229,0,0,104000
8,1713,1713,3,856,274900
4,1121,1121,2,440,140000
6,1196,1279,2,473,171500
6,617,1310,1,398,112000
6,848,848,2,420,149000
5,720,1284,1,240,110000
7,1424,1442,2,500,180500
5,1140,1696,1,349,143900
4,1100,1100,1,312,141000
7,1157,2062,2,454,277000
6,1092,1092,2,504,145000
5,864,864,0,0,98000
6,1212,1212,2,460,186000
7,900,1852,2,644,252678
5,990,990,2,576,156000
6,689,1392,1,299,161750
5,1070,1236,1,447,134450
7,1436,1436,2,484,210000
4,686,1328,1,210,107000
7,798,1954,2,431,311500
7,1248,1248,2,438,167240
7,1498,1498,2,675,204900
6,1010,2267,2,390,200000
6,713,1552,2,434,179900
4,864,864,2,576,97000
10,2392,2392,3,968,386250
5,630,1302,1,280,112000
7,1203,2520,3,721,290000
6,483,987,1,280,106000
5,912,912,1,336,125000
7,1373,1555,2,430,192500
6,1194,1194,1,312,148000
8,1462,2794,3,810,403000
6,483,987,1,288,94500
5,894,894,1,308,128200
6,860,1960,2,440,216500
6,483,987,1,264,89500
7,1414,1414,2,494,185500
7,996,1744,2,457,194500
8,1694,1694,3,818,318000
6,735,1487,1,220,113000
8,1566,1566,2,750,262500
5,686,866,0,0,110500
5,540,1440,1,352,79000
6,626,1217,1,288,120000
7,948,2110,2,463,205000
7,1845,1872,2,604,241500
6,1020,1928,1,440,137000
6,1367,1375,2,451,140000
7,840,1668,2,500,180000
6,1444,2144,2,389,277000
3,728,1306,0,0,76500
8,1573,1625,2,538,235000
6,798,1640,2,520,173000
6,1302,1302,1,309,158000
5,1314,1314,1,294,145000
7,975,2291,2,429,230000
6,864,1728,2,673,207500
7,1604,1604,2,660,220000
7,963,1792,2,564,231500
5,0,882,1,308,97000
6,1362,1382,2,884,176000
8,1482,2574,3,868,276000
6,506,1212,2,492,151000
5,926,1316,2,484,130000
5,680,764,2,504,73000
6,1422,1422,2,576,175500
6,802,1511,2,413,185000
5,720,2192,1,240,179500
5,740,778,1,924,120500
6,1143,1113,1,504,148000
8,1095,1939,3,1053,266000
7,1385,1363,2,439,241500
8,1152,2270,3,671,290000
6,1240,1632,1,338,139000
5,816,816,1,264,124500
7,952,1548,2,672,205000
7,1560,1560,2,573,201000
4,864,864,2,400,141000
9,2121,2121,3,732,415298
7,1160,2022,2,505,192000
7,807,1982,2,575,228500
6,1262,1262,2,572,185000
7,1314,1314,2,626,207500
8,1468,1468,3,898,244600
6,1575,1575,2,529,179200
7,625,1250,2,528,164700
6,912,1734,2,440,159000
4,858,858,0,0,88000
5,882,900,1,280,122000
6,698,1396,1,384,153575
8,1079,1919,2,685,233230
5,780,1716,0,0,135900
5,768,1716,1,281,131000
7,795,2263,2,539,235000
6,1416,1644,2,418,167000
6,1003,1003,2,588,142500
5,910,1558,1,282,152000
7,975,1950,2,576,239000
6,702,1743,2,539,175000
6,1092,1152,1,300,158500
5,1165,1336,1,375,157000
8,1028,2452,2,683,267000
7,1541,1541,3,843,205000
5,894,894,2,552,149900
7,1470,3493,3,870,295000
8,2000,2000,3,888,305900
7,700,2243,3,746,225000
6,319,1406,0,0,89500
4,861,861,2,539,82500
9,1896,1944,3,708,360000
6,697,1501,2,420,165600
6,972,972,1,240,132000
5,793,1118,2,410,119900
7,2136,2036,2,513,375000
7,728,1641,2,546,178000
7,716,1432,2,432,188500
7,845,2353,2,484,260000
8,1088,1959,3,1025,270000
7,1347,2646,3,656,260000
7,1372,1472,2,588,187500
9,1249,2596,3,840,342643
8,1136,2468,3,872,354000
7,1502,2730,2,576,301000
3,1162,1163,1,220,126175
7,710,2978,2,564,242000
5,720,803,2,360,87000
8,1719,1719,2,473,324000
6,1383,1383,1,292,145250
6,844,2134,2,441,214500
5,596,1192,1,189,78000
5,1728,1728,1,352,119000
5,1056,1056,1,308,139000
8,3206,1629,3,880,284000
7,1358,1358,2,484,207000
6,943,1638,2,472,192000
5,1499,1786,2,529,228950
9,1922,1922,3,676,377426
7,1536,1536,2,532,214000
7,1208,1621,2,440,202500
6,1215,1215,1,297,155000
8,967,1908,2,431,202900
4,721,841,1,294,82000
3,0,1040,2,400,87500
9,1684,1684,2,564,266000
5,536,1112,1,336,85000
6,972,1577,1,312,140200
6,958,958,1,301,151500
6,1478,1478,2,498,157500
7,764,1626,2,474,154000
9,1848,2728,3,706,437154
9,1869,1869,2,617,318061
7,1453,1453,2,445,190000
5,616,1111,1,200,95000
6,624,720,2,484,105900
6,940,1595,1,240,140000
6,1200,1200,2,521,177500
6,1158,1167,2,400,173000
5,1142,1142,2,528,134000
5,1062,1352,1,288,130000
8,1086,1924,2,592,280000
6,888,912,2,470,156000
5,883,1505,1,240,145000
7,0,1922,2,672,198500
6,483,987,1,264,118000
6,796,1574,2,566,190000
5,672,1344,1,468,147000
6,1394,1394,2,514,159000
6,1099,1431,1,296,165000
5,1268,1268,1,244,132000
5,1063,1287,2,576,162000
6,953,1664,2,460,172400
4,0,1588,2,680,134432
6,744,752,1,264,125000
5,608,1319,1,270,123000
7,847,1928,2,434,219500
1,683,904,0,0,61000
5,870,914,2,576,148000
8,1580,2466,2,610,340000
9,1856,1856,3,834,394432
6,982,1800,2,463,179000
5,1026,1691,1,308,127000
7,1293,1301,2,572,187750
7,939,1797,2,639,213500
6,784,784,2,360,76000
6,1580,1953,2,501,240000
8,1256,1269,2,430,192000
5,658,1184,0,0,81000
6,1041,1125,1,352,125000
7,1468,1479,2,577,191000
10,1682,2332,3,846,426000
5,861,1367,1,384,119000
6,804,1961,2,560,215000
5,0,882,1,294,106500
4,788,788,0,0,100000
5,735,1034,1,240,109000
5,1144,1144,1,596,129000
5,894,894,2,600,123000
5,864,1812,1,264,169500
5,961,1077,1,338,67000
7,1092,1550,2,438,241000
8,1260,1288,2,500,245500
7,1310,1310,2,400,164990
5,672,672,1,240,108000
8,1141,2263,2,420,258000
6,806,1572,2,373,168000
4,1281,1620,2,490,150000
6,1064,1639,1,240,115000
6,840,1680,1,308,177000
7,1063,2172,3,947,280000
8,1034,2078,3,836,339750
5,1276,1276,1,350,60000
5,1056,1056,2,572,145000
7,1470,1478,2,484,222000
5,1008,1028,2,360,115000
7,1080,2097,3,678,228000
7,1340,1340,2,396,181134
6,672,1400,2,440,149500
6,1370,2624,3,864,239000
5,756,1134,1,240,126000
5,1056,1056,1,304,142000
7,1344,1344,4,784,206300
6,1602,1602,2,529,215000
5,988,988,2,520,113000
8,1470,2630,3,696,315000
6,1196,1196,1,297,139000
7,651,1389,1,240,135000
7,1518,1644,2,569,275000
4,907,907,1,352,109008
7,1208,1208,2,628,195400
6,1392,1412,2,576,175000
6,483,987,1,264,85400
6,901,1198,0,0,79900
5,765,1365,2,440,122500
6,926,1604,2,470,181000
4,630,630,0,0,81000
7,799,1661,2,550,212000
6,648,1118,2,440,116000
6,884,904,1,180,119000
5,440,694,1,352,90350
6,684,1196,2,528,110000
10,3094,2402,3,672,555000
4,1440,1440,0,0,118000
5,1078,1573,2,360,162900
7,1258,1258,3,648,172500
7,915,1908,2,493,210000
6,1436,1689,2,480,127500
6,1517,1888,2,578,190000
7,930,1886,2,431,199900
6,780,1376,1,198,119500
3,649,1183,1,308,120000
6,813,813,1,270,110000
7,1533,1533,2,576,280000
6,872,1756,2,422,204000
8,768,1590,2,676,210000
5,1728,1728,2,560,188000
7,1242,1242,2,528,175500
5,624,1344,3,513,98000
4,1364,1663,2,529,256000
8,588,1666,1,228,161000
5,709,1203,1,352,110000
8,832,1935,2,552,263435
7,560,1135,2,576,155000
5,864,864,1,360,62383
6,715,1660,1,240,188700
5,1040,1040,0,0,124000
7,1375,1414,2,398,178740
7,1277,1277,2,526,167000
5,728,1644,1,312,146500
8,1626,1634,3,866,250000
6,832,1710,2,506,187000
8,1488,1502,2,528,212000
7,808,1969,2,534,190000
6,547,1072,2,525,148000
8,1976,1976,3,908,440000
8,1494,1652,2,499,251000
5,970,970,2,624,132500
6,1478,1493,2,508,208900
9,2153,2643,3,694,380000
8,1705,1718,3,826,297000
4,907,1131,2,672,89471
9,1833,1850,3,772,326000
9,1792,1792,3,874,374000
7,910,1826,1,164,155000
6,1216,1216,2,402,164000
5,999,999,1,264,132500
5,1113,1113,1,264,147000
5,1073,1073,2,515,156000
5,1484,1484,2,487,175000
5,954,2414,2,520,160000
4,630,630,1,286,86000
5,264,1304,1,336,115000
6,806,1578,1,240,133000
6,728,1456,2,429,172785
5,1269,1269,1,308,155000
5,190,886,1,273,91300
4,720,720,0,0,34900
8,3200,3228,2,546,430000
7,1026,1820,1,240,184000
5,864,899,1,288,130000
5,912,912,1,297,120000
6,672,1218,1,264,113000
7,866,1768,2,603,226700
5,1214,1214,2,461,140000
7,1501,1801,2,484,289000
6,855,1322,2,440,147000
5,960,1960,2,400,124500
8,777,1911,2,471,215000
6,1218,1218,2,676,208300
7,689,1378,2,360,161000
5,1041,1041,1,270,124500
5,1008,1363,1,288,164900
7,1368,1368,2,474,202665
5,864,864,2,624,129900
6,1084,1080,2,484,134000
5,768,789,1,200,96500
10,2006,2020,3,900,402861
6,689,2119,2,583,158000
7,1264,2344,3,889,265000
6,794,1796,2,546,211000
7,1276,2080,1,282,234000
4,0,1294,0,0,106250
6,1244,1244,1,336,150000
6,1004,1664,2,420,159000
10,3138,4676,3,884,184750
7,1379,2398,3,834,315750
7,1257,1266,2,453,176000
5,928,928,1,252,132000
9,1452,2713,3,858,446261
4,528,605,0,0,86000
6,2035,2515,2,484,200624
6,1461,1509,2,600,175000
6,611,1362,2,502,128000
5,0,827,1,392,107500
1,0,334,0,0,39300
8,707,1414,2,403,178000
5,1117,1347,0,0,107500
7,880,1724,2,527,188000
4,864,864,2,576,111250
5,1051,1159,1,336,158000
8,1581,1601,2,670,272000
9,1838,1838,3,765,315000
8,969,2285,3,648,248000
7,1650,1680,2,583,213250
7,723,767,1,367,133000
7,654,1496,2,426,179665
7,1204,2183,3,786,229000
6,1065,1635,2,440,210000
5,768,768,2,624,129500
5,825,825,2,720,125000
7,912,2094,2,615,263000
6,1069,1069,2,440,140000
5,928,928,1,288,112500
8,1709,1717,3,908,255500
4,0,1126,2,520,108000
7,998,2046,3,871,284000
5,993,1048,1,280,113000
5,1092,1092,1,299,141000
4,637,1336,1,570,108000
7,729,1446,2,406,175000
7,1374,1557,2,420,234000
5,1392,1392,2,528,121500
5,1389,1389,2,418,170000
5,996,996,0,0,108000
6,1163,1674,2,396,185000
7,1095,2295,2,590,268000
6,806,1647,1,216,128000
9,1122,2504,3,656,325000
7,1517,1535,2,532,214000
8,1496,2132,2,612,316600
5,943,943,2,600,135960
5,1728,1728,2,576,142600
6,864,864,1,288,120000
7,846,1692,2,650,224500
7,384,1430,2,400,170000
5,372,1109,1,288,139000
5,832,1216,1,336,118500
7,861,1477,1,216,145000
5,1164,1320,2,564,164500
7,689,1392,2,540,146000
5,1050,1795,1,352,131500
6,1144,1429,2,572,181900
8,2042,2042,3,1390,253293
6,816,816,0,0,118500
10,1237,2775,2,880,325000
4,884,1573,1,240,133000
8,1868,2028,3,880,369900
6,816,838,1,275,130000
5,840,860,2,528,137000
5,1437,1473,1,452,143000
5,742,935,1,308,79500
7,770,1582,2,520,185900
10,1722,2296,3,842,451950
5,816,816,2,816,138000
6,848,848,2,420,140000
5,924,924,1,280,110000
8,1814,1826,3,758,319000
6,684,1368,1,216,114504
7,1258,1402,3,648,194201
5,1430,1647,2,621,217500
6,716,1556,2,452,151000
8,1058,1904,2,736,275000
6,780,1375,1,544,141000
8,908,1915,2,506,220000
7,600,1200,2,480,151000
7,1494,1494,2,530,221000
7,768,1986,2,486,205000
5,1040,1040,2,576,152000
5,896,2008,1,230,225000
8,965,3194,2,380,359100
4,1029,1029,1,261,118500
9,1440,2153,3,736,313000
6,1032,1032,2,564,148000
8,1299,1872,2,531,261500
5,1120,1120,0,0,147000
4,630,630,0,0,75500
6,936,1054,2,480,137500
6,783,1509,2,393,183200
6,832,832,2,528,105500
9,1822,1828,3,774,314813
8,1482,2262,3,749,305000
3,864,864,0,0,67000
6,1522,2614,2,624,240000
5,980,980,2,484,135000
6,756,1512,2,440,168500
6,732,1790,2,484,165150
6,1116,1116,2,440,160000
5,978,1422,1,286,139900
6,1156,1520,1,364,153000
5,1040,2080,2,504,135000
6,1248,1350,2,520,168500
5,636,1750,1,240,124000
8,1554,1554,2,627,209500
7,1386,1411,2,544,82500
5,1056,1056,1,260,139400
6,1056,1056,2,576,144000
6,1440,3395,0,0,200000
2,264,800,0,0,60000
5,811,1387,1,256,93000
5,796,796,0,0,85000
8,1520,1567,3,648,264561
8,1518,1518,2,588,274000
7,1057,1929,2,650,226000
8,1952,2704,2,538,345000
5,780,1620,2,462,152000
9,1766,1766,3,478,370878
6,981,981,2,576,143250
5,0,1048,2,420,98300
6,1094,1094,2,495,155000
6,756,1839,2,442,155000
4,630,630,0,0,84500
7,813,1665,2,562,205950
4,755,1510,1,296,108000
7,880,1716,2,512,191000
6,756,1469,1,216,135000
8,2109,2113,3,839,350000
6,525,1092,1,264,88000
5,1053,1053,1,312,145500
7,776,1502,1,270,149000
6,912,1458,1,330,97500
5,1486,1486,2,480,167000
7,793,1935,2,550,197900
8,1629,2448,3,711,402000
6,1392,1392,2,576,110000
4,1138,1181,2,588,137500
8,2077,2097,3,1134,423000
8,1406,1936,2,504,230500
6,1021,2380,2,596,129000
6,1408,1679,2,575,193500
5,1188,1437,2,576,168000
4,700,1180,1,252,137500
6,738,1476,2,540,173500
6,672,1369,1,300,103600
6,1208,1208,2,546,165000
6,1477,1839,2,416,257500
6,1136,1136,1,384,140000
6,855,1441,2,440,148500
4,1095,1774,3,779,87000
5,768,792,1,240,109500
8,2046,2046,3,834,372500
5,988,988,2,572,128500
6,923,923,1,264,143000
5,793,1520,1,281,159434
6,1291,1291,2,431,173000
9,1626,1668,3,702,285000
7,1195,1839,2,486,221000
7,1190,2090,2,577,207500
7,874,1761,2,578,227875
7,551,1102,2,480,148800
8,1419,1419,2,567,392000
6,1362,1362,2,460,194700
6,848,848,2,420,141000
10,2444,4316,3,832,755000
7,1210,2519,2,628,335000
5,1073,1073,1,326,108480
5,927,1539,2,576,141500
6,1112,1137,2,551,176000
5,616,616,1,205,89000
5,980,1148,1,308,123500
5,894,894,1,336,138500
7,1391,1391,2,530,196000
8,1800,1800,3,765,312500
7,1164,1164,2,528,140000
8,1234,2576,3,666,361919
5,360,1812,2,672,140000
7,1473,1484,2,606,213000
4,0,1092,0,0,55000
7,1643,1824,2,739,302000
8,1324,1324,2,550,254000
7,728,1456,2,400,179540
5,876,904,1,408,109900
3,270,729,0,0,52000
4,859,1178,1,384,102776
8,1228,1228,2,472,189000
4,960,960,2,576,129000
6,725,1479,2,475,130500
6,1064,1350,2,478,165000
7,718,2554,2,704,159500
5,1176,1178,2,439,157000
7,1311,2418,3,983,341000
5,971,971,1,300,128500
8,1742,1742,2,564,275000
6,848,848,2,420,143000
4,864,864,2,463,124500
4,941,1470,1,548,135000
9,1698,1698,3,768,320000
4,864,864,2,660,120500
6,880,1680,2,540,222000
7,1232,1232,2,632,194500
