OverallQual,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
5,1584,1776,3,888,110000
4,780,1208,2,539,103000
8,1595,1616,2,608,236500
7,868,1146,2,438,187500
7,1153,2031,2,541,222500
5,864,1144,1,264,131400
5,948,948,1,300,108000
7,880,1768,2,320,163000
3,0,1040,2,400,93500
8,893,1801,3,800,239900
5,1200,1200,0,0,179000
7,864,1728,2,572,190000
5,264,1432,2,360,132000
6,912,912,1,288,142000
7,1349,1349,2,539,179000
5,520,1464,2,480,175000
8,1337,1337,2,462,180000
8,1142,2715,2,831,299800
7,952,2256,2,554,236000
7,1240,2640,4,864,265979
7,1720,1720,2,527,260400
4,0,1529,1,240,98000
4,576,1140,0,0,96500
7,660,1320,2,400,162000
6,1479,1494,2,576,217000
8,1030,2098,3,878,275500
6,1026,1026,2,440,156000
6,729,1471,2,440,172500
8,866,1768,2,578,212000
6,672,1386,2,440,158900
7,744,1501,2,440,179400
8,1318,2531,3,752,290000
6,864,864,1,300,127500
5,1145,1301,2,440,100000
7,756,1547,2,614,215200
8,1252,2365,3,856,337000
8,1494,1494,2,481,270000
9,1498,1506,2,592,264132
7,980,1714,2,496,196500
6,983,1750,1,423,160000
7,1860,1836,2,484,216837
8,1650,3279,3,841,538000
5,858,858,2,576,134900
4,836,1220,2,396,102000
6,1029,1117,2,672,107000
5,912,912,1,275,114500
8,1935,1973,3,895,395000
6,1204,1204,2,412,162000
7,1614,1614,3,865,221500
5,864,894,2,440,142500
5,0,2020,2,630,144000
6,975,1004,2,504,135000
7,1237,1253,2,402,176000
6,761,1603,2,484,175900
7,1413,1430,2,605,187100
5,1097,1110,2,602,165500
6,742,1484,0,0,128000
6,1372,1342,2,457,161500
5,686,1652,1,416,139000
7,956,2084,2,618,233000
4,901,901,1,281,107900
6,832,2087,2,444,187500
7,1145,1145,2,397,160200
6,1029,1062,2,539,146800
7,1117,2013,2,455,269790
8,1496,1496,2,474,225000
7,712,1895,2,409,194500
6,650,1564,2,476,171000
6,660,1285,2,528,143500
5,773,773,1,240,110000
9,1926,3140,3,820,485000
5,731,1768,1,240,175000
6,616,1688,2,603,200000
4,1196,1196,2,440,109900
7,728,1456,2,410,189000
9,1734,2822,3,1020,582933
5,936,1128,1,286,118000
7,1417,1428,2,554,227680
5,980,980,1,384,135500
5,1324,1576,2,528,223500
5,1024,1086,2,484,159950
5,849,2138,2,360,106000
6,1040,1309,2,484,181000
6,848,848,2,420,144500
5,540,1044,2,504,55993
6,1442,1442,1,301,157900
5,686,1250,1,280,116000
7,1649,1661,2,598,224900
5,1008,1008,1,275,137000
8,1568,1689,3,857,271000
6,1010,1052,2,440,155000
7,1358,1358,2,484,224000
7,798,1640,2,595,183000
4,936,936,2,576,93000
7,847,1733,2,433,225000
6,778,1489,1,240,139500
8,1489,1489,2,776,232600
10,2078,2084,3,1220,385000
5,784,784,0,0,109500
7,1454,1434,2,527,189000
5,1013,2126,2,538,185000
7,600,1223,2,480,147400
6,1392,1392,2,458,166000
7,600,1200,2,480,151000
7,941,1829,2,613,237000
6,1516,1516,2,472,167000
5,1144,1144,2,456,139950
4,1067,1067,2,436,128000
5,1559,1559,2,812,153500
6,483,987,1,264,100000
5,1099,1099,1,352,144000
5,768,1200,1,240,130500
6,672,1482,1,400,140000
5,650,1539,2,686,157500
6,1127,1165,2,490,174900
5,1800,1800,0,0,141000
5,876,1416,3,720,153900
5,1390,1701,2,611,171000
7,740,1775,2,425,213000
5,864,864,1,338,133500
6,907,2358,2,360,240000
6,528,1855,2,512,187000
6,848,848,2,420,131500
8,1273,1456,2,400,215000
7,918,1646,1,240,164000
6,1127,1445,2,645,158000
5,1763,1779,2,454,170000
5,1040,1040,1,260,127000
6,940,1026,2,576,147000
6,702,1481,2,343,174000
7,1090,1370,2,479,152000
6,1054,2654,2,619,250000
7,912,1426,1,216,189950
5,1039,1039,2,504,131500
6,1040,1097,2,480,152000
5,1148,1148,1,672,132500
7,1372,1372,2,529,250580
5,1002,1002,2,902,148500
8,1638,1646,3,870,248900
4,1040,1120,2,544,129000
5,0,2320,2,672,169000
7,1050,1949,2,574,236000
5,894,894,1,308,109500
6,804,1682,2,523,200500
5,105,910,2,414,116000
5,832,1268,1,288,133000
5,676,1131,1,200,66500
8,1184,2610,2,550,303477
4,1064,1040,2,648,132250
9,1462,2224,3,738,350000
5,1109,1155,2,576,148000
5,864,864,1,336,136500
5,1090,1090,2,450,157000
7,1156,1717,2,400,187500
6,808,1593,2,389,178000
4,795,2230,1,440,118500
5,892,892,1,288,100000
9,1698,1709,2,506,328900
5,1626,1712,2,588,145000
5,816,1393,1,300,135500
8,2217,2217,2,621,268000
6,1505,1505,2,505,149500
5,672,924,2,576,122900
6,918,1683,2,440,172500
6,1059,1068,1,264,154500
5,1383,1383,1,354,165000
5,0,1535,2,400,118858
6,780,1796,2,483,140000
4,951,951,1,327,106500
5,0,2240,2,528,142953
9,2330,2364,3,820,611657
5,912,1236,1,288,135000
4,858,858,1,684,110000
5,992,1306,1,756,153000
7,783,1509,2,393,180000
7,1670,1670,3,690,240000
5,876,902,1,288,125500
5,1056,1063,1,280,128000
8,1623,1636,3,865,255000
7,1017,2057,1,180,250000
5,864,902,2,484,131000
6,742,1484,2,390,174000
5,1105,2274,2,480,154300
5,1268,1268,1,252,143500
5,768,1015,1,450,88000
5,1001,2002,3,871,145000
6,612,1224,2,528,173733
4,546,1092,1,286,75000
2,480,480,1,308,35311
4,1134,1229,1,284,135000
7,1104,2127,3,833,238000
6,1184,1414,2,601,176500
6,928,1721,2,471,201000
5,1272,2200,0,0,145900
6,1316,1316,2,397,169990
6,1604,1617,2,533,193000
6,1686,1686,2,612,207500
5,1126,1126,2,540,175000
8,1181,2374,3,656,285000
7,832,1978,2,486,176000
8,1753,1788,2,522,236500
7,964,2236,2,642,222000
8,1466,1466,3,610,201000
5,925,925,1,429,117500
9,1905,1905,3,788,320000
7,1500,1500,2,570,190000
7,585,2069,2,505,242000
4,600,747,2,528,79900
7,1176,1200,2,555,184900
7,1113,1971,2,689,253000
7,1391,1962,3,868,239799
7,1032,2403,1,349,244400
6,1728,1728,2,574,150900
7,992,2060,2,390,214000
4,1440,1440,0,0,150000
5,1632,1632,2,576,143000
6,819,1344,2,525,137500
5,1088,1869,2,456,124900
5,1144,1144,1,796,143000
8,1616,1629,3,808,270000
7,936,1776,2,474,192500
6,1161,1381,2,676,197500
5,864,864,2,720,129000
5,828,965,1,300,119900
5,768,768,1,396,133900
5,784,1968,2,530,172000
6,945,980,0,0,127500
6,979,1958,2,492,145000
6,561,1229,2,462,124000
5,1057,1057,2,576,132000
7,1337,1337,2,531,185000
7,696,1416,2,484,155000
5,858,858,0,0,116500
6,1330,2872,2,619,272000
6,804,1548,2,440,155000
9,1800,1800,2,702,239000
7,817,1894,2,510,214900
6,783,1484,2,393,178900
5,728,1308,1,256,160000
5,1098,1098,1,260,135000
3,600,968,0,0,37900
6,588,1095,1,264,140000
4,720,1192,0,0,135000
7,764,1626,2,474,173000
6,918,918,1,264,99500
7,1428,1428,2,480,182000
7,728,2019,2,532,167500
7,673,1382,2,490,165000
4,440,869,0,0,85500
7,1241,1241,2,569,199900
4,894,894,2,400,110000
5,1121,1121,2,480,139000
7,944,999,2,588,178400
8,1225,2612,3,676,336000
7,1266,1266,2,388,159895
8,1128,2290,2,779,255900
5,0,1734,2,539,126000
5,1164,1164,1,240,125000
6,485,1635,1,255,117000
9,1930,1940,3,606,395192
6,848,2030,2,551,195000
7,770,1576,2,614,197000
8,1396,2392,3,870,348000
8,916,1742,2,424,168000
6,822,1851,2,440,187000
6,750,1500,2,564,173900
10,1700,1718,3,786,337500
4,747,1230,1,305,121600
5,1050,1050,1,368,136500
6,1442,1442,2,615,185000
3,1007,1077,1,210,91000
7,1187,1208,2,632,206000
3,0,944,2,528,82000
5,691,691,1,216,86000
8,1574,1574,3,824,232000
5,1680,1680,2,528,136905
7,1346,1504,2,457,181000
5,985,985,1,328,149900
6,1657,1657,2,484,163500
4,546,1092,1,286,88000
7,1710,1710,2,550,240000
5,1008,1522,0,0,102000
5,720,1271,1,312,135000
5,0,1664,0,0,100000
6,602,1502,1,180,165000
5,1022,1022,1,280,85000
6,1082,1082,1,240,119200
8,810,1665,2,528,227000
7,1504,1504,2,478,203000
8,1220,1360,2,565,187500
7,384,1472,2,402,160000
7,1362,1506,2,440,213490
4,1132,1132,2,451,176000
7,1199,1220,2,632,194000
5,912,1248,1,160,87000
7,1346,1504,2,437,191000
8,1565,2898,2,665,287000
5,882,882,2,461,112500
5,1268,1264,2,461,167500
8,1638,1646,3,800,293077
5,768,1376,1,240,105000
6,672,1218,1,264,118000
5,686,1928,0,0,160000
7,824,3082,2,672,197000
8,1338,2520,3,796,310000
7,1654,1654,3,900,230000
5,920,954,1,240,119750
4,0,845,1,290,84000
9,1620,1620,3,912,315500
8,1055,2263,2,905,287000
4,546,1344,0,0,97000
4,630,630,1,286,80000
5,1134,1803,2,484,155000
6,800,1632,2,484,173000
6,1306,1306,2,624,196000
7,1475,2329,2,514,262280
8,2524,2524,2,542,278000
3,0,1733,2,452,139600
9,1992,2868,3,716,556581
5,990,990,2,672,145000
5,0,1771,2,336,115000
4,0,930,1,308,84900
7,1302,1302,2,436,176485
7,1316,1316,2,440,200141
6,816,1977,2,540,165000
5,1216,1526,1,364,144500
8,1065,1989,2,586,255000
6,1193,1523,2,478,180000
7,1364,1364,2,484,185850
7,973,1850,2,467,248000
9,1104,2184,3,836,335000
6,854,1991,2,432,220000
8,1338,1338,2,582,213500
3,894,894,3,1248,81000
5,662,2337,2,560,90000
6,1103,1103,2,440,110500
5,1154,1154,2,480,154000
7,1306,2260,2,533,328000
6,799,1571,2,380,178000
6,780,1611,2,442,167900
6,942,2521,2,576,151400
5,845,893,2,576,135000
5,1048,1048,1,286,135000
6,727,1556,2,441,154000
5,810,1456,1,280,91500
6,690,1426,2,440,159500
7,1240,1240,3,826,194000
7,800,1740,1,240,219500
5,796,1466,2,566,170000
5,1096,1096,1,299,138800
6,848,848,2,420,155900
5,990,990,1,299,126000
6,1258,1258,2,528,145000
5,1040,1040,1,308,133000
7,1459,1459,2,527,192000
6,1251,1251,1,461,160000
6,691,1498,2,409,187500
6,936,996,2,564,147000
4,546,1092,1,286,83500
8,1082,1953,3,1043,252000
7,970,1709,2,380,137500
8,1247,1247,2,550,197000
3,0,1040,2,400,92900
7,600,1252,2,462,160000
6,1181,1694,2,576,136500
5,864,1200,2,884,146000
5,936,936,1,308,129000
6,1314,1314,2,440,176432
6,684,1355,0,0,127000
8,1074,1088,2,461,170000
4,672,1324,1,240,128000
7,1271,1601,2,478,157000
2,290,438,1,246,60000
5,950,950,1,280,119500
5,1010,1134,1,254,135000
6,655,1194,2,539,159500
5,630,1302,2,440,106000
8,1463,2622,2,712,325000
7,910,1442,2,719,179900
7,868,2021,2,422,274725
6,924,1690,2,463,181000
8,1836,1836,3,862,280000
6,773,1658,2,431,188000
7,803,1964,2,483,205000
5,816,816,1,308,129900
5,1008,1008,1,240,134500
5,833,833,1,326,117000
8,1734,1734,3,928,318000
8,408,1419,2,527,184100
5,894,894,2,450,130000
5,533,1601,1,300,140000
5,1040,1040,1,286,133700
6,1012,1012,1,308,118400
7,1552,1552,3,782,212900
4,672,960,1,288,112000
5,698,698,0,0,118000
7,384,1482,2,392,163900
4,1005,1005,2,672,115000
7,1373,1555,3,660,174000
7,1530,1530,3,630,259000
7,847,1959,2,434,215000
5,936,936,2,672,140000
4,1122,1981,2,576,135000
5,974,974,0,0,93500
6,1008,2210,1,205,117500
8,1128,2020,2,466,239500
6,916,1600,2,460,169000
6,960,986,1,180,102000
6,1032,1252,1,288,119000
5,780,1020,0,0,94000
6,1567,1567,2,714,196000
5,915,1167,2,495,144000
5,952,952,2,840,139000
5,780,1868,2,484,197500
8,1466,2828,3,1052,424870
5,1006,1006,0,0,80000
4,672,924,1,280,80000
5,1042,1576,1,225,149000
6,1298,1298,2,403,180000
7,704,1564,1,234,174500
7,572,1111,1,288,116900
7,650,1482,2,324,143000
6,932,932,1,306,124000
5,1466,1466,2,528,149900
6,1073,1811,2,470,230000
6,816,816,1,432,120500
7,864,1820,2,492,201800
5,1437,1437,2,528,218000
5,1219,1265,2,502,179900
7,1314,1314,2,626,230000
8,1580,1580,3,830,235128
6,901,1876,2,540,185000
6,855,1456,2,440,146000
6,1296,1640,2,924,224000
5,894,894,2,450,129000
4,1198,1258,2,400,108959
5,1360,1432,2,588,194000
7,1502,1502,2,644,233170
8,1694,1694,3,776,245350
6,959,1671,2,472,173000
6,1127,2108,2,540,235000
10,1930,3627,3,807,625000
6,1096,1118,1,358,171000
6,1261,1261,2,433,163000
7,625,1250,2,625,171900
5,1598,3086,0,0,200500
6,952,2345,2,360,239000
8,1683,2872,2,541,285000
5,876,923,1,264,119500
6,818,1224,1,210,115000
5,731,1343,1,186,154900
5,0,1124,0,0,93000
7,1216,2514,2,693,250000
8,1600,1652,2,482,392500
10,2396,4476,3,813,745000
5,1120,1130,2,720,120000
5,1572,1572,3,995,186700
5,784,1221,1,392,104900
3,978,1699,2,420,95000
8,1624,1624,3,757,262000
7,831,1660,2,493,195000
7,994,1804,2,442,189000
4,1249,1622,4,1356,168000
8,776,1441,2,492,174000
5,702,1472,1,250,125000
6,1224,1224,2,402,165000
6,663,1352,1,299,158000
6,728,1456,2,400,176000
7,879,1863,3,660,219210
7,815,1690,1,225,144000
7,1212,1212,2,573,178000
4,1051,1382,2,459,148000
4,864,864,1,280,116050
7,866,1779,2,546,197900
5,884,1348,1,216,117000
7,1630,1630,2,451,213000
5,1056,1074,2,495,153500
7,2158,2196,3,701,271900
4,1056,1056,1,384,107000
6,1682,1700,2,544,200000
5,931,1283,2,506,140000
8,1660,1660,2,500,290000
6,1055,1845,2,462,189000
8,559,1752,2,492,164000
4,672,672,1,234,113000
4,648,960,1,364,145000
5,925,999,1,300,134500
5,894,894,1,384,125000
6,0,1902,2,539,112000
8,1300,1314,2,552,229456
4,0,912,0,0,80500
6,672,1218,0,0,91500
5,912,912,1,288,115000
5,952,1211,1,322,134000
6,1040,1846,1,315,143000
5,2136,2136,2,528,137900
7,788,1490,2,388,184000
6,588,1138,1,264,145000
6,894,1933,3,668,214000
5,912,912,2,576,147000
9,1702,1702,3,1052,367294
5,1075,1507,1,404,127000
5,1361,2620,2,600,190000
5,1106,1190,2,540,132500
4,0,1224,2,462,101800
5,1188,1188,2,531,142000
5,940,1964,0,0,130000
5,747,1784,1,180,138887
7,764,1626,2,474,175500
7,847,1948,2,434,195000
6,1141,1141,2,484,142500
8,1476,1484,2,472,265900
7,884,1768,2,543,224900
7,1689,1689,3,954,248328
7,1053,1173,2,528,170000
10,2076,2076,3,850,465000
8,792,1517,2,400,230000
6,585,1868,2,477,178000
7,756,1553,2,615,186500
6,1012,1034,3,888,169900
6,735,2058,2,396,129500
5,876,988,1,276,119000
7,2110,2110,2,522,244000
7,1405,1405,2,478,171750
5,864,874,1,288,130000
7,1192,2167,2,518,294000
7,746,1656,2,397,165400
6,884,1367,1,560,127500
8,1986,1987,2,691,301500
5,864,864,0,0,99900
7,856,1166,2,400,190000
6,1054,1054,2,460,151000
6,841,1675,2,502,181000
5,1050,1050,1,338,128900
4,1104,1788,1,304,161500
6,764,1824,2,520,180500
6,1405,1337,2,511,181000
7,691,1452,2,506,183900
7,925,1889,1,308,122000
9,2002,2018,3,746,378500
8,728,3447,3,1014,381000
5,874,1524,1,315,144000
7,1332,1524,2,586,260000
6,1489,1489,2,462,185750
5,935,935,1,288,137000
6,1019,1357,1,312,177000
5,661,1250,2,552,139000
5,928,1920,2,400,137000
6,723,1395,2,497,162000
6,1680,1724,2,480,197900
8,1128,2031,2,577,237000
4,698,1128,2,528,68400
7,1573,1573,2,544,227000
7,1309,1339,2,484,180000
5,1040,1040,2,484,150500
6,912,1824,0,0,139000
6,804,2447,1,336,169000
6,780,1412,1,280,132500
6,1328,1328,2,528,143000
5,1624,1582,2,390,190000
8,1501,1659,2,499,278000
8,1085,1970,3,753,281000
5,1152,1152,2,484,180500
5,630,1302,1,264,119500
5,994,2372,1,432,107500
7,832,1664,2,528,162900
5,864,864,2,572,115000
5,1052,1052,1,288,138500
5,1120,1128,2,525,155000
6,547,1072,2,525,140000
10,6110,5642,2,1418,160000
5,1246,1246,1,305,154000
7,978,1983,2,490,225000
6,771,1494,1,213,177500
8,1165,2526,3,844,290000
7,1616,1616,3,834,232000
7,976,1708,2,380,130000
9,1652,1652,2,840,325000
7,1368,1368,2,474,202500
5,990,990,2,480,138000
5,924,1122,2,528,147000
6,1278,1294,2,496,179200
7,1902,1902,2,567,335000
7,1274,1274,2,508,203000
8,1453,2810,2,750,302000
9,1393,2599,3,779,333168
4,948,948,1,280,119000
6,952,2112,2,576,206900
8,1622,1630,3,860,295493
7,1352,1352,2,466,208900
8,1753,1787,3,748,275000
4,864,948,1,248,111000
6,1478,1478,2,442,156500
3,0,720,1,287,72500
7,750,1923,2,564,190000
4,420,708,0,0,82500
8,1795,1795,3,895,147000
4,796,796,0,0,55000
3,544,774,0,0,79000
5,816,816,1,264,130500
6,1510,2792,2,520,256000
7,935,1632,2,462,176500
8,1588,1588,3,825,227000
5,911,954,2,576,132500
4,816,816,1,288,100000
5,803,1360,1,297,125500
5,765,1365,2,440,125000
6,1350,1334,2,630,167900
5,1656,1656,2,506,135000
4,693,693,0,0,52500
7,916,1861,2,492,200000
5,864,864,1,288,128500
4,858,872,4,480,123000
6,1114,1114,2,576,155000
8,1284,2169,2,647,228500
6,896,1913,2,342,177000
7,728,1456,2,440,155835
4,960,960,1,308,108500
7,1568,2156,2,508,262500
8,1732,1776,3,712,283463
7,1482,1494,2,514,215000
8,684,2358,0,0,122000
5,1248,2634,4,968,200000
6,858,1716,2,490,171000
6,698,1176,2,624,134900
8,2033,3238,3,666,410000
7,992,1865,3,839,235000
7,570,1920,2,487,170000
5,864,892,1,264,110000
5,1078,1078,2,500,149900
6,756,1573,2,440,177500
9,1980,1980,3,770,315000
5,612,2601,2,621,189000
7,1530,1530,2,430,260000
4,715,1738,1,368,104900
6,616,1412,2,432,156932
7,600,1200,2,480,144152
7,814,1674,2,663,216000
7,873,1790,2,588,193000
5,757,1475,1,336,127000
6,848,848,2,420,144000
8,1657,1668,2,502,232000
4,840,1374,1,338,105000
6,992,1661,1,377,165500
7,1108,2097,2,583,274300
10,2633,2633,3,804,466500
7,1026,1958,3,936,250000
8,1571,1571,3,722,239000
6,768,790,1,160,91000
5,984,1604,2,660,117000
6,483,987,1,264,83000
5,384,1394,2,400,167500
3,864,864,1,200,58500
6,1205,2117,2,550,237500
7,596,1762,2,576,157000
5,816,1416,2,576,112000
6,560,1258,1,280,105000
4,796,1154,1,240,125500
7,1392,2784,2,564,250000
6,714,2526,1,216,136000
9,1746,1746,3,758,377500
6,735,1218,2,440,131000
7,1525,1525,2,541,235000
5,1584,1584,3,792,124000
5,864,900,1,288,123000
6,482,1912,2,672,163000
7,1356,1500,3,648,246578
8,1094,2482,3,642,281213
5,747,1687,2,572,160000
5,939,1513,1,180,137500
5,1208,1904,1,240,138000
6,976,1608,1,216,137450
6,862,1158,1,208,120000
6,839,1593,2,398,193000
7,1286,1294,2,662,193879
8,1485,1464,3,754,282922
3,672,1214,3,936,105000
8,1594,1646,2,482,275000
5,768,768,2,396,133000
5,833,833,0,0,112000
4,622,1363,2,528,125500
7,791,2093,2,542,215000
7,944,1840,2,622,230000
6,856,1668,1,271,140000
4,0,1040,2,420,90000
8,1844,1844,2,620,257000
6,833,1848,2,370,207000
7,1386,1569,3,660,175900
4,777,2290,2,560,122500
8,1284,2450,3,1069,340000
5,1144,1144,1,336,124000
6,1844,1844,2,540,223000
6,708,1416,2,776,179900
6,1069,1069,2,440,127500
6,848,848,2,420,136500
6,697,2201,2,432,274970
5,1024,1344,1,484,144000
6,1252,1252,2,528,142000
7,1223,2127,2,525,271000
5,913,1558,1,288,140000
5,788,804,1,240,119000
6,1440,1440,2,467,182900
5,732,1838,2,372,192140
6,958,958,2,440,143750
4,656,968,1,216,64500
6,936,1792,2,451,186500
5,1126,1126,2,484,160000
6,1319,1537,2,462,174000
4,864,864,2,528,120500
8,1932,1932,3,774,394617
6,912,1236,2,923,149700
7,539,1725,2,550,197000
6,588,2555,2,672,191000
6,848,848,2,420,149300
10,1017,2007,3,812,310000
6,952,952,1,192,121000
7,1422,1422,2,626,179600
6,814,913,1,240,129000
5,1188,1188,1,312,157900
8,1220,2090,2,556,240000
4,560,1346,1,384,112000
5,630,630,0,0,92000
5,896,1792,0,0,136000
8,1573,1578,3,840,287090
5,547,1072,2,525,145000
5,1140,1140,0,0,84500
7,1221,1221,2,400,185000
6,953,1647,2,460,175000
6,1542,2073,2,500,210000
7,1152,2340,1,252,266500
5,1078,1078,1,240,142125
5,1256,1256,1,276,147500
