OverallQual,TotalBsmtSF,GrLivArea,GarageCars,GarageArea
8,1719,1719,2,473
7,912,2094,2,615
8,1482,2574,3,868
5,861,1367,1,384
6,1291,1291,2,431
7,952,1548,2,672
6,799,1571,2,380
4,1134,1229,1,284
8,1088,1959,3,1025
6,806,1647,1,216
5,1360,1432,2,588
6,1064,1639,1,240
4,576,1140,0,0
7,1157,2062,2,454
7,948,2110,2,463
5,988,988,2,572
8,1566,1600,3,890
8,1095,1939,3,1053
8,1338,1338,2,582
4,630,630,0,0
7,1286,1294,2,662
7,856,1710,2,548
4,560,1346,1,384
7,756,1553,2,615
5,833,833,0,0
3,864,864,0,0
6,848,848,2,420
5,896,1344,1,240
7,1616,1616,3,834
4,720,1192,0,0
6,650,1564,2,476
6,1328,1328,2,528
7,764,1626,2,474
7,879,1863,3,660
4,864,864,2,576
5,264,1432,2,360
6,1094,1094,2,495
5,780,1020,0,0
5,864,864,0,0
4,755,1510,1,296
5,1029,1339,1,294
5,1010,1134,1,254
5,756,1134,1,240
7,813,1665,2,562
5,530,1111,1,288
5,969,969,2,440
6,1479,1494,2,576
6,888,912,2,470
5,0,2020,2,630
8,1184,2610,2,550
3,600,968,0,0
5,1144,1144,1,336
6,1461,1509,2,600
6,778,1489,1,240
9,1698,1709,2,506
7,576,1710,2,480
5,732,1838,2,372
5,1656,1656,2,506
9,1620,1620,3,912
7,1257,1266,2,453
6,1262,1262,2,460
5,1389,1389,2,418
7,1453,1479,2,558
6,1008,2210,1,205
5,894,894,1,308
7,1568,2156,2,508
8,1626,1634,3,866
5,1008,1008,1,275
5,803,1360,1,297
5,894,894,2,450
6,938,988,2,540
8,1623,1636,3,865
6,672,1400,2,440
8,2077,2097,3,1134
9,1792,1792,3,874
5,384,1360,2,572
6,744,752,1,264
6,1144,1429,2,572
8,1158,2376,3,853
5,1097,1097,2,672
6,1116,1116,2,440
5,1314,1314,1,294
4,1095,1774,3,779
6,735,1218,2,440
5,1598,3086,0,0
7,798,1954,2,431
7,952,2256,2,554
4,990,990,0,0
7,920,1786,2,608
6,680,1470,2,420
6,690,1426,2,440
5,1461,1721,2,440
5,1126,1126,2,540
6,1542,2073,2,500
6,319,1406,0,0
6,848,848,2,420
4,546,1344,0,0
6,816,816,0,0
5,612,2601,2,621
5,952,952,2,840
5,896,2008,1,230
6,1010,2267,2,390
7,1302,1302,2,436
8,1656,1656,3,826
5,1060,1060,1,270
5,1063,1327,2,624
6,755,2229,0,0
6,816,1977,2,540
6,926,1604,2,470
5,0,1048,2,420
10,1410,2945,3,641
10,1722,2296,3,842
3,270,729,0,0
8,2217,2217,2,621
5,698,698,0,0
4,864,864,2,576
6,832,2087,2,444
7,776,1502,1,270
5,876,988,1,276
8,1030,2098,3,878
6,1505,1505,2,505
8,1141,2263,2,420
6,561,1229,2,462
7,1340,1340,2,396
6,1127,1165,2,490
7,1502,2730,2,576
6,804,1548,2,440
6,547,1072,2,525
7,600,1223,2,480
6,1019,1357,1,312
5,876,923,1,264
7,1530,1530,3,630
4,1440,1440,0,0
7,750,1923,2,564
5,864,864,1,338
5,912,912,1,288
7,978,1983,2,490
5,940,1964,0,0
5,1008,1522,0,0
6,1216,1216,2,402
5,1040,1040,2,576
7,1372,1372,2,529
6,1202,2158,2,576
5,768,768,2,624
7,846,1692,2,650
7,860,1720,2,565
10,1237,2775,2,880
5,858,858,0,0
4,672,672,1,234
6,855,1456,2,440
7,939,1797,2,639
7,1152,2340,1,252
8,1406,1936,2,504
8,3200,3228,2,546
7,1845,1872,2,604
8,1466,1466,3,610
5,1113,1113,1,264
5,864,899,1,288
7,799,1661,2,550
8,1594,1646,2,482
7,1504,1504,2,478
5,928,928,1,252
7,832,854,2,576
8,1470,2630,3,696
7,996,1744,2,457
7,868,2021,2,422
7,1470,1478,2,484
8,1686,1694,2,636
5,1361,2620,2,600
6,975,1004,2,504
4,861,861,2,539
7,864,1820,2,492
8,853,2727,2,440
5,864,892,1,264
8,1181,2374,3,656
6,708,1416,2,776
4,1122,1981,2,576
6,732,1790,2,484
7,1337,1337,2,531
8,1683,2872,2,541
7,625,1250,2,625
7,1192,2167,2,518
7,728,2019,2,532
6,936,996,2,564
5,864,1144,1,264
5,935,935,1,288
5,970,970,2,624
6,684,1196,2,528
10,1682,2332,3,846
6,742,1484,0,0
9,1652,1652,2,840
6,796,1574,2,566
7,1428,1428,2,480
7,1710,1710,2,550
5,1140,1140,0,0
6,896,2142,1,509
6,819,1344,2,525
6,1682,1700,2,544
10,6110,5642,2,1418
8,970,1739,2,480
5,1680,1680,2,528
5,816,816,2,516
7,770,1582,2,520
5,0,2320,2,672
7,880,1768,2,320
5,816,816,1,264
5,720,2192,1,240
6,741,1732,2,476
8,1463,2622,2,712
4,420,708,0,0
8,1488,1502,2,528
7,1470,3493,3,870
5,780,780,1,352
5,644,1355,0,0
7,963,1792,2,564
4,952,952,1,283
5,950,950,1,280
4,936,936,2,576
7,1113,1971,2,689
4,1100,1100,1,312
5,793,1118,2,410
7,941,1829,2,613
8,2042,2042,3,1390
5,780,1868,2,484
5,789,789,1,250
5,1056,1056,2,572
8,1494,1494,2,481
6,806,1578,1,240
7,1434,2149,2,670
4,960,960,1,432
6,588,1095,1,264
7,654,1496,2,426
5,1056,1074,2,495
7,866,1768,2,603
5,1050,1050,1,368
4,648,960,1,364
9,1842,1842,3,894
5,765,1365,2,440
6,794,1796,2,546
9,1980,1980,3,770
10,2396,4476,3,813
4,796,1154,1,240
6,970,1709,2,380
4,693,693,0,0
6,716,1556,2,452
7,1050,1949,2,574
5,788,804,1,240
7,1436,1436,2,484
6,1657,1657,2,484
7,384,1430,2,400
6,611,1362,2,502
8,1034,2078,3,836
5,911,954,2,576
6,844,2134,2,441
9,1746,1746,3,758
5,816,816,1,264
6,1040,1097,2,480
6,547,1072,2,525
8,1142,2715,2,831
4,951,951,1,327
5,768,789,1,200
6,1029,1117,2,672
5,960,1960,2,400
5,1269,1269,1,308
8,1004,1852,3,660
8,1836,1836,3,862
7,874,1761,2,578
6,901,1876,2,540
6,1032,1032,2,564
5,974,974,0,0
5,884,1348,1,216
4,1040,1120,2,544
6,756,1573,2,440
6,1372,1342,2,457
8,1234,1234,2,484
7,585,2069,2,505
5,1050,1795,1,352
7,1643,1824,2,739
8,1058,1904,2,736
5,1176,1178,2,439
6,1237,1337,2,405
6,945,980,0,0
6,1092,1152,1,300
5,996,996,0,0
6,1078,958,2,440
7,900,1852,2,644
5,1125,1125,2,430
8,1028,2452,2,683
6,896,1913,2,342
6,1181,1694,2,576
7,744,1501,2,440
8,1501,1659,2,499
5,0,1771,2,336
5,1078,1078,1,240
7,861,1477,1,216
6,672,1386,2,440
7,976,1708,2,380
5,1062,1352,1,288
6,672,1218,1,264
6,1575,1575,2,529
6,880,1680,2,540
5,1097,1110,2,602
7,994,1804,2,442
6,1004,1004,2,480
5,1165,1336,1,375
8,1085,1970,3,753
6,1440,1440,2,467
5,728,1308,1,256
5,1390,1701,2,611
8,1573,1625,2,538
6,713,1552,2,434
7,1053,1173,2,528
9,1698,1698,3,768
7,1310,1310,2,400
6,854,1991,2,432
7,1494,1494,2,530
4,864,864,2,400
9,1561,1561,2,556
6,648,1118,2,440
7,1530,1530,2,430
5,1164,1320,2,564
5,864,874,1,288
5,924,924,1,280
6,1041,1125,1,352
5,925,999,1,300
7,992,2060,2,390
8,2109,2113,3,839
6,855,1441,2,440
6,1096,1118,1,358
7,847,1959,2,434
7,832,1664,2,528
6,588,2555,2,672
7,1356,1500,3,648
8,1360,3112,2,795
7,1309,1339,2,484
8,1657,1668,2,502
4,1067,1067,2,436
6,1026,1026,2,440
4,0,1294,0,0
5,547,1072,2,525
7,1541,1541,3,843
6,855,1456,2,440
7,551,1102,2,480
8,1704,1704,3,772
5,864,864,1,336
8,1252,2365,3,856
6,616,1412,2,432
5,988,988,2,520
7,1195,1839,2,486
7,1277,1277,2,526
7,700,2243,3,746
7,1386,1569,3,660
6,520,754,0,0
6,483,987,1,288
7,1344,1344,4,784
5,1268,1268,1,244
6,1149,1616,1,216
7,1494,1494,3,840
5,1022,1022,1,280
5,1392,1392,2,528
8,1370,1370,2,484
5,662,2337,2,560
7,1689,1689,3,954
5,864,864,2,720
9,1992,2868,3,716
9,1838,1838,3,765
6,1362,1586,2,435
9,1684,1684,2,564
8,1593,1593,2,682
7,1057,2034,2,645
6,1193,1523,2,478
7,952,1774,2,468
7,2110,2110,2,522
6,804,2447,1,336
7,798,1640,2,595
7,1242,1242,2,528
3,0,944,2,528
7,925,1889,1,308
5,1268,1264,2,461
5,1350,1328,1,308
8,1580,1580,3,830
2,480,480,1,308
6,972,1577,1,312
5,0,1535,2,400
4,1064,1040,2,648
9,1856,1856,3,834
5,757,1475,1,336
8,1165,2526,3,844
5,912,912,1,336
5,912,912,1,297
8,1496,2132,2,612
5,731,1768,1,240
7,1385,1363,2,439
5,984,1604,2,660
5,1090,1090,2,450
6,918,918,1,264
4,864,864,0,0
6,1392,1412,2,576
3,864,864,1,200
8,1581,1601,2,670
8,1952,2704,2,538
4,0,1040,2,420
7,1204,2183,3,786
6,816,1176,2,528
7,1604,1604,2,660
7,570,1920,2,487
7,696,1416,2,484
5,784,1968,2,530
7,1459,1459,2,527
5,796,1466,2,566
5,864,1200,2,884
9,1766,1766,3,478
6,982,1800,2,463
7,716,1432,2,432
3,894,894,3,1248
5,768,792,1,240
9,1249,2596,3,840
7,1090,1370,2,479
7,1017,2057,1,180
6,1425,1425,2,576
5,811,1387,1,256
5,1486,1486,2,480
7,975,2291,2,429
4,0,845,1,290
5,874,1524,1,315
7,866,1779,2,546
6,1065,1635,2,440
4,941,1470,1,548
8,1800,1800,3,765
8,1128,2020,2,466
5,1024,1086,2,484
4,948,948,1,280
6,1158,1167,2,400
5,948,948,1,300
7,651,1389,1,240
6,626,1217,1,288
5,1297,1297,2,498
8,1247,1247,2,550
5,1272,2200,0,0
4,1196,1196,2,440
6,1319,1537,2,462
6,1296,1640,2,924
8,810,1665,2,528
5,1040,1040,1,384
4,0,1126,2,520
5,864,900,1,288
6,1248,1350,2,520
8,969,2285,3,648
5,876,1416,3,720
9,1626,1668,3,702
6,728,1456,2,390
5,1144,1144,1,596
6,1362,1362,2,504
8,776,1441,2,492
8,1710,1710,3,866
5,938,938,1,308
7,970,1709,2,380
5,768,768,1,396
8,1152,2270,3,671
7,691,1452,2,506
4,440,869,0,0
8,1709,1717,3,908
5,384,1394,2,400
5,1437,1473,1,452
6,729,1471,2,440
6,848,848,2,420
5,1052,1920,2,451
7,1650,1680,2,583
6,1516,1516,2,472
7,924,2157,2,487
4,845,845,2,360
7,1187,1208,2,632
5,630,1302,1,264
5,980,980,1,384
6,1158,1158,2,576
5,1120,1120,0,0
7,689,1378,2,360
6,783,1509,2,393
5,440,1230,2,440
7,1720,1720,2,527
6,1003,1003,2,588
7,1614,1614,3,865
5,0,882,1,294
4,622,1363,2,528
6,1069,1069,2,440
6,841,1675,2,502
4,788,788,0,0
5,1383,1383,1,354
8,1580,2466,2,610
6,952,952,1,192
5,747,1784,1,180
7,814,1674,2,663
5,661,1250,2,552
5,1728,1728,2,576
6,735,2058,2,396
9,2153,2643,3,694
7,991,1947,2,678
6,1064,1350,2,478
9,1930,1940,3,606
7,1223,2127,2,525
8,1624,1624,3,757
5,1048,1048,1,286
6,780,1375,1,544
6,1080,1080,1,288
5,0,2240,2,528
9,1800,1800,2,702
6,1392,1392,2,576
7,1358,1358,2,484
6,1392,1392,2,458
6,1218,1218,2,676
8,1117,2452,3,691
7,1264,2696,3,792
6,485,1635,1,255
5,784,784,0,0
7,884,1768,2,543
4,1281,1620,2,490
7,847,1733,2,433
7,1208,1208,2,628
6,848,848,2,420
7,728,1456,2,400
5,264,1304,1,336
8,916,1742,2,424
5,672,1344,1,468
7,1145,1145,2,397
6,1442,1442,2,615
10,2078,2084,3,1220
4,950,1225,0,0
7,910,1442,2,719
5,1208,1904,1,240
6,684,1560,2,400
8,1986,1987,2,691
5,672,1285,1,240
6,1143,1113,1,504
8,1299,1872,2,531
3,0,1040,2,400
7,1654,1654,3,900
5,0,882,1,308
8,1225,2612,3,676
7,1216,2514,2,693
5,840,860,2,528
7,935,1632,2,462
7,1533,1533,2,576
3,1013,1526,0,0
7,600,1200,2,480
6,672,1218,1,264
7,1391,1391,2,530
6,780,1796,2,483
7,1346,1504,2,457
4,859,1178,1,384
8,1468,1468,3,898
6,804,1682,2,523
7,1417,1428,2,554
6,1099,1431,1,296
3,728,1306,0,0
5,1188,1437,2,576
5,1026,1691,1,308
8,1713,1713,3,856
6,936,1054,2,480
5,990,990,2,576
6,1069,1069,2,440
7,770,1576,2,614
6,1489,1489,2,462
4,907,1131,2,672
7,1373,1555,2,430
6,1080,1656,2,528
5,720,1284,1,240
6,798,1640,2,520
5,894,894,1,384
6,1478,1478,2,442
6,702,1481,2,343
9,1175,2324,3,736
7,1153,2031,2,541
7,1453,1453,2,445
9,1922,1922,3,676
8,1082,1953,3,1043
7,992,1865,3,839
7,1057,1929,2,650
4,836,1220,2,396
5,520,1464,2,480
8,1638,1646,3,870
7,1947,2207,2,576
6,1088,1324,2,440
8,1234,2576,3,666
5,1632,1632,2,576
6,1084,1080,2,484
6,560,1258,1,280
5,1013,2126,2,538
7,384,1430,2,400
7,1117,2013,2,455
7,795,2263,2,539
7,1304,2287,2,667
5,816,1393,1,300
4,1132,1132,2,451
5,1056,1056,1,260
6,0,1902,2,539
6,1440,3395,0,0
6,1844,1844,2,546
6,1258,1258,2,528
4,528,605,0,0
8,2046,2046,3,834
10,1107,3608,3,840
5,1056,1056,1,304
8,1574,1574,3,824
5,1219,1265,2,502
7,1392,2462,2,576
8,1284,2169,2,647
8,1582,2161,3,789
6,1205,2117,2,550
5,936,936,2,672
7,1026,1958,3,936
10,3138,4676,3,884
7,1518,1644,2,569
7,918,1646,1,240
4,1138,1181,2,588
5,993,1048,1,280
5,912,1236,1,288
6,804,1961,2,560
8,1338,2520,3,796
8,1686,1707,2,511
7,791,2093,2,542
8,1595,1616,2,608
5,876,904,1,408
5,1256,1256,1,276
7,840,1720,2,440
5,533,1601,1,300
8,832,1935,2,552
7,1391,1962,3,868
7,1266,1266,2,388
7,1104,2127,3,833
5,747,1687,2,572
6,912,912,1,288
7,1362,2082,2,484
4,546,1092,1,286
7,1368,1368,2,474
6,932,932,1,306
9,1393,2599,3,779
4,795,2230,1,440
6,663,1352,1,299
9,1440,2153,3,736
8,1396,2392,3,870
6,1367,1375,2,451
5,910,1385,2,720
7,1375,1414,2,398
5,858,858,2,576
6,1478,1493,2,508
4,649,1317,1,250
8,684,2358,0,0
5,833,833,1,326
10,2076,2076,3,850
6,697,2201,2,432
7,1860,1836,2,484
4,672,924,1,280
4,901,901,1,281
5,961,1077,1,338
5,1216,1526,1,364
8,1128,2290,2,779
5,978,1422,1,286
6,602,1502,1,180
7,1264,2344,3,889
6,1522,2614,2,624
7,1352,1352,2,466
5,870,914,2,576
5,1002,1002,2,902
6,1383,1383,1,292
8,1932,1932,3,774
4,0,1092,0,0
6,1055,1845,2,462
7,1276,2080,1,282
5,876,964,2,432
7,764,1626,2,474
7,1314,1314,2,626
7,1454,1434,2,527
8,1753,1788,2,522
6,992,2054,2,390
7,912,1426,1,216
5,1057,1057,1,246
6,1302,1302,1,309
4,672,1324,1,240
4,1056,1056,1,384
6,750,1500,2,564
5,1099,1099,1,352
7,803,1964,2,483
5,540,1440,1,352
8,866,1768,2,578
6,818,1224,1,210
5,702,1472,1,250
7,384,1474,2,400
7,880,1724,2,527
6,918,1683,2,440
6,1196,1196,1,297
5,894,894,2,600
6,816,838,1,275
8,1935,1973,3,895
5,864,864,1,288
6,959,1671,2,472
6,715,1660,1,240
7,2223,2223,2,516
5,1763,1779,2,454
4,960,960,1,308
6,1316,1316,2,397
5,1088,1869,2,456
5,672,672,1,240
6,761,1603,2,484
6,483,987,1,264
5,768,1015,1,450
8,1494,1652,2,499
7,783,1509,2,393
4,1364,1663,2,529
5,952,1211,1,322
6,1092,1092,2,504
5,0,1535,2,410
7,847,1948,2,434
6,483,987,1,264
6,848,848,2,420
6,624,720,2,484
6,1029,1062,2,539
5,990,990,2,480
6,824,1786,2,684
8,1228,1228,2,472
7,873,1790,2,588
5,1484,1484,2,487
4,864,864,1,280
5,686,1250,1,280
4,686,1328,1,210
6,855,1322,2,440
7,625,1250,2,528
7,1032,2403,1,349
6,764,1824,2,520
9,2330,2364,3,820
5,927,1539,2,576
7,1630,1630,2,451
4,747,747,1,220
6,848,848,2,420
6,714,2526,1,216
6,1477,1839,2,416
5,912,912,1,275
6,1127,1445,2,645
4,816,816,1,288
7,1156,1717,2,400
2,290,438,1,246
5,1051,1159,1,336
8,1753,1787,3,748
3,1162,1163,1,220
6,697,1501,2,420
6,1103,1103,2,440
6,1012,1012,1,308
6,940,1026,2,576
5,742,935,1,308
6,1200,1200,1,312
8,1629,2448,3,711
5,1188,1188,1,312
5,796,796,0,0
6,1314,1314,2,440
5,1214,1214,2,461
7,1080,2097,3,678
6,483,987,1,264
5,1142,1142,2,528
7,1525,1525,2,541
5,864,864,1,360
6,1610,1610,2,480
7,1241,1241,2,569
8,1600,1652,2,482
6,612,1224,2,528
5,1096,1096,1,299
4,637,1336,1,570
6,482,1912,2,672
5,616,616,1,205
7,864,1728,2,572
6,1510,2792,2,520
4,0,1296,2,516
6,525,1092,1,264
5,686,1928,0,0
9,2216,2234,3,1166
8,1462,2794,3,810
6,1012,1034,3,888
8,1419,1419,2,567
7,729,1446,2,406
5,1466,1466,2,528
7,808,1969,2,534
6,728,1456,2,429
4,721,841,1,294
9,1702,1702,3,1052
4,858,858,0,0
6,825,1993,2,495
6,1680,1724,2,480
7,1734,1734,2,660
6,862,1158,1,208
8,1143,2473,3,852
6,783,1484,2,393
5,624,1344,3,513
4,0,1529,1,240
5,1040,1040,0,0
5,0,1734,2,539
8,1554,1554,2,627
8,1337,1337,2,462
7,2158,2196,3,701
5,1008,1053,2,750
5,780,1716,0,0
5,0,827,1,392
7,600,1252,2,462
9,1462,2224,3,738
6,1478,1478,2,498
5,928,928,1,288
7,1482,1494,2,514
8,1563,1563,3,758
8,1638,1646,3,800
5,105,910,2,414
5,943,943,2,600
5,825,825,2,720
5,1617,1867,1,303
6,572,1096,0,0
5,894,894,1,336
4,732,1123,1,264
7,725,1479,2,484
7,596,1762,2,576
8,967,1908,2,431
4,546,1092,1,286
8,1496,1496,2,474
7,1588,1588,2,472
4,672,960,1,288
6,2035,2515,2,484
5,768,1376,1,240
7,1536,1536,2,532
5,876,902,1,288
5,910,1558,1,282
7,1164,1164,2,528
5,992,1306,1,756
5,1040,2080,2,504
6,864,864,1,288
7,1552,1552,3,782
5,1800,1800,0,0
6,808,1593,2,389
10,1017,2007,3,812
6,1517,1888,2,578
5,630,1302,2,440
5,1728,1728,2,504
6,1728,1728,2,574
5,1008,1363,1,288
8,1814,1826,3,758
6,768,790,1,160
6,698,1176,2,624
7,915,1908,2,493
6,1082,1082,1,240
5,596,1192,1,189
7,884,2035,2,434
5,991,1077,1,205
6,864,864,1,300
7,704,1564,1,234
5,912,912,1,352
5,660,1656,1,180
8,1489,1489,2,776
5,1063,1287,2,576
8,1300,1314,2,552
6,901,1198,0,0
6,994,1855,1,325
4,1121,1121,2,440
9,1122,2504,3,656
5,793,1517,0,0
7,1349,1349,2,539
4,1249,1622,4,1356
7,980,1714,2,496
5,1559,1559,2,812
5,900,900,2,576
6,684,1355,0,0
8,777,1911,2,471
7,793,1802,1,216
5,1078,1573,2,360
6,1059,1068,1,264
5,1120,1130,2,720
7,1240,2640,4,864
7,650,1482,2,324
4,777,2290,2,560
5,1075,1507,1,404
6,1253,1253,1,352
5,1056,1063,1,280
5,672,840,0,0
8,792,1517,2,400
6,1194,1194,1,312
10,1930,3627,3,807
6,1127,2108,2,540
9,2002,2018,3,746
2,264,800,0,0
6,612,1224,2,528
4,0,1040,2,420
7,1392,2784,2,564
5,1200,1200,0,0
6,1844,1844,2,540
5,1073,1073,1,326
6,1261,1261,2,433
8,1844,1844,2,620
5,936,1128,1,286
8,1128,2031,2,577
7,1237,1253,2,402
5,765,1365,2,440
6,1252,1252,2,528
6,1251,1251,1,461
4,1005,1005,2,672
3,978,1699,2,420
4,0,1152,0,0
7,1473,1484,2,606
7,973,1850,2,467
10,2006,2020,3,900
7,831,1660,2,493
6,976,1608,1,216
5,780,1620,2,462
8,707,1414,2,403
7,740,1775,2,425
5,1050,1050,1,338
9,2121,2121,3,732
5,1008,1028,2,360
5,0,1340,1,252
4,858,858,1,684
1,0,334,0,0
6,672,1482,1,400
7,1026,1820,1,240
6,794,1470,2,388
5,1053,1053,1,312
8,1065,1989,2,586
4,0,912,0,0
5,1092,1092,1,299
7,1203,2520,3,721
5,1624,1582,2,390
7,807,1982,2,575
7,1258,1258,3,648
6,784,784,2,360
4,720,720,0,0
5,740,778,1,924
8,1660,1660,2,500
5,864,864,2,624
5,864,902,2,484
8,1260,1288,2,500
7,718,2554,2,704
7,1907,1959,3,766
6,1199,1199,2,530
4,960,960,2,576
7,572,1111,1,288
8,1795,1795,3,895
6,953,1664,2,460
5,1228,1228,1,271
5,912,1248,1,160
6,1028,2320,1,180
5,709,1203,1,352
9,1905,1905,3,788
5,883,1505,1,240
7,1258,1402,3,648
7,1379,2398,3,834
6,940,1595,1,240
6,912,1734,2,440
6,773,1658,2,431
7,1475,2329,2,514
5,1150,1150,1,300
6,1809,2259,2,450
7,930,1886,2,431
3,1007,1077,1,210
5,864,894,2,440
5,1008,1008,1,240
5,1324,1576,2,528
7,847,1928,2,434
6,506,1212,2,492
7,764,1626,2,474
6,1408,1679,2,575
7,1347,2646,3,656
7,1372,1472,2,588
5,1437,1437,2,528
7,1190,2090,2,577
7,768,1986,2,486
6,928,1721,2,471
6,848,848,2,420
7,673,1382,2,490
7,1095,2295,2,590
6,742,1484,2,390
5,1572,1572,3,995
7,0,1922,2,672
